code,name,cat,verdict,detail
002722,工银财富货币B,money_market,stale_only,Data_millionCopiesIncome@2025-07-30
005196,博时合丰货币B,money_market,no_series,
027876,汇添富稳益多资产三个月持有混合(FOF)A,fof,no_series,
008434,凯石岐短债C,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-17
161220,国投瑞银新兴产业混合(LOF)A(后端),etf_lof,no_series,
017793,国联安聚利39个月封闭式债券,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-31
161212,国投沪深300金融地产联接(后端),other,no_series,
020806,国投瑞银和嘉债券C,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-07-05
180203,招商高速公路REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-10-16
161617,融通医疗保健行业混合A/B(后端),other,no_series,
180306,华夏安博仓储REIT,reits,no_series,
508022,博时津开产园REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-08-27
508026,嘉实中国电建清洁能源REIT,reits,no_series,
508012,招商科创REIT,reits,no_series,
027237,富国港股通科技混合C,backend_share,no_series,
519728,交银成长30混合(后端),other,no_series,
960015,汇添富医药保健混合O,other,no_series,
028446,华安沣利债券C,bond_periodic,no_series,
508029,中信建投沈阳国际软件园REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-10-19
028284,东吴瑞欣债券C,bond_periodic,no_series,
027729,财通资管沪深300指数增强A,other,no_series,
028474,南方稳健多策略3个月持有混合(FOF)C,fof,no_series,
028520,前海开源中证全指软件开发指数A,other,no_series,
026708,永赢元鑫稳健多资产六个月持有混合(FOF)C,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
027186,平安启瑞港股甄选混合(QDII),qdii_other,no_series,
026740,鑫元鑫选恒泰稳健配置3个月持有期混合(FOF)A,fof,no_series,
027442,东方红中证价值领先指数A,other,no_series,
027913,大成稳丰3个月持有期债券A,bond_periodic,no_series,
100017,富国天源沪港深平衡混合A(后端),other,no_series,
159043,食品ETF华安,etf_lof,no_series,
100021,富国天益价值混合A(后端),other,no_series,
160120,南方中证500ETF联接(LOF)A(后端),etf_lof,no_series,
028574,南方启航共赢混合C,backend_share,no_series,
202026,南方上证380ETF联接A(后端),etf_lof,no_series,
400004,东方精选混合(后端),other,no_series,
508009,中金安徽交控REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-06-29
270011,广发聚富混合(后端),other,no_series,
960035,易方达价值成长混合H,backend_share,no_series,
027451,交银港股消费混合(QDII)C,qdii_other,no_series,
027177,华泰柏瑞安泰稳健多元配置6个月持有混合(FOF)A,fof,no_series,
028247,华夏国证航天航空行业ETF联接A,etf_lof,no_series,
017292,申万菱信红利量化选股股票A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-07
028379,安联中国成长优选混合A,other,no_series,
508056,中金普洛斯REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-03-30
001311,华安新回报混合A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-04-27
027141,广发富泽多元配置三个月持有混合(ETF-FOF)C,fof,no_series,
011725,东方红新源三年持有混合B,other,no_series,
017300,安信数字经济股票发起A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-21
027488,易方达如意安恒3个月持有混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
001151,融通互联网传媒灵活配置混合A(后端),other,no_series,
051014,博时创业成长混合A(后端),other,no_series,
100027,富国天合稳健优选混合(后端),other,no_series,
028160,广发稳致混合C,backend_share,no_series,
100067,富国纯债债券发起式A/B(后端),bond_periodic,no_series,
128001,国投瑞银融华债券(后端),bond_periodic,no_series,
027221,长城均衡回报混合发起A,other,no_series,
180303,华泰宝湾物流REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-06-29
016131,国泰海通品质生活混合发起C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-11
160126,南方香港优选股票(后端),other,no_series,
161707,招商优质成长混合(LOF)(后端),etf_lof,no_series,
508007,中金山东高速REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-06-29
202012,南方优选价值混合A(后端),other,no_series,
508099,建信中关村REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2022-06-23
508011,嘉实物美消费REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-01-30
960034,国投瑞银稳定增利债券H,money_market,no_series,
960040,南方多利增强债券H,bond_periodic,no_series,
508602,国泰海通砂之船商业REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-31
027756,华宝医药精选混合(QDII)C,qdii_other,no_series,
180301,红土创新盐田港REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-12-30
027523,广发产业优选混合C,backend_share,no_series,
028243,嘉实均衡优选股票A,other,no_series,
026777,百嘉百泽60天持有纯债债券C,bond_periodic,no_series,
028332,嘉实多瑞混合A,other,no_series,
028383,华润元大聚盈混合发起式A,other,no_series,
000163,富国全球债券(QDII)人民币A(后端),qdii_other,no_series,
158005,工程机械ETF博时,etf_lof,no_series,
001853,融通中国风1号灵活配置混合A/B(后端),other,no_series,
008464,招商添瑞1年定开债C,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2020-04-25
025827,兴全盈禧多元配置三个月持有混合(FOF)C,fof,no_series,
027296,大摩添悦债券C,bond_periodic,no_series,
000155,富国通胀通缩主题轮动混合A(后端),other,no_series,
027500,兴全盈泰多元配置三个月持有混合FOFA,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
161663,融通创业板指数A(后端),other,no_series,
027873,中航祥益债券C,bond_periodic,no_series,
202004,南方绩优成长混合A(后端),other,no_series,
023575,海富通稳鑫三个月持有债券A,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-28
508085,华泰苏州恒泰租赁住房REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-06-29
270036,广发国证2000ETF联接A(后端),etf_lof,no_series,
027650,东财农业智选混合发起式A,other,no_series,
508003,中金联东科创REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-06-29
028431,汇安启程混合C,backend_share,no_series,
028256,摩根新能源股票C,backend_share,no_series,
018347,富安达智优量化选股混合型发起式A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-04
000108,富国稳健增强债券A/B(后端),bond_periodic,no_series,
000472,富国城镇发展股票(后端),other,no_series,
004570,建信结算宝货币,money_market,no_series,
017238,创金合信宁和平衡养老目标三年持有期混合发起(FOF),fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-04-23
001472,融通新能源灵活配置混合A(后端),other,no_series,
027682,中邮臻享混合发起式A,other,no_series,
005190,东方红沪港深混合(后端),other,no_series,
022723,工银现金货币B,money_market,no_series,
027661,宝盈裕安增利6个月持有期债券C,money_market,no_series,
027268,国泰消费智选混合发起C,backend_share,no_series,
018292,华夏国证2000指数增强发起式A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-24
017496,泰康中证科创创业50指数C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-11
027755,华宝医药精选混合(QDII)A,qdii_other,no_series,
213908,宝盈资源优选混合(后端),other,no_series,
100059,富国产业债券A(后端),bond_periodic,no_series,
519695,交银蓝筹混合(后端),other,no_series,
561410,光伏ETF工银,etf_lof,no_series,
018335,华夏中证智选1000成长创新策略ETF发起式联接C,etf_lof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-31
023008,兴华智选成长三个月持有混合发起(FOF)C,fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-21
027763,博道锦航混合A,other,no_series,
028588,永赢嘉鑫增利债券C,money_market,no_series,
027797,华夏优享回报混合A,other,no_series,
028470,上银创业板综指增强发起式C,backend_share,no_series,
051001,博时价值增长混合(后端),other,no_series,
181001,创金合信北京国资公司REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-07-12
508028,中信建投国家电投新能源REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-12-30
202109,南方润元纯债债券A/B(后端),bond_periodic,no_series,
028225,贝莱德行业轮动量化选股股票A,other,no_series,
027525,中加安衡量化选股混合C,backend_share,no_series,
519994,长信金利趋势混合A(后端),other,no_series,
027902,兴全盈旭多元配置三个月持有混合(FOF)C,fof,no_series,
519687,交银上证180公司治理联接(后端),other,no_series,
026707,永赢元鑫稳健多资产六个月持有混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
028253,平安瑞升6个月持有混合A,other,no_series,
508000,华安张江产业园REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2022-12-30
028254,平安瑞升6个月持有混合C,backend_share,no_series,
028372,博时汇益回报3个月持有期混合(FOF)A,fof,no_series,
159095,云计算ETF银华,etf_lof,no_series,
028415,中欧医疗精选混合发起C,backend_share,no_series,
028544,天弘材料新机遇优选混合发起式C,backend_share,no_series,
000157,富国全球科技互联网股票(QDII)A(后端),qdii_other,no_series,
000162,富国中国中小盘混合(QDII)人民币A(后端),qdii_other,no_series,
016116,国联安恒盛3个月定开债券,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-29
026548,中欧价值智信混合A,other,no_series,
016390,易米研究精选混合发起A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-04-26
027775,鹏扬量化选股混合A,other,no_series,
027914,大成稳丰3个月持有期债券C,bond_periodic,no_series,
017768,大成颐禧积极养老目标五年持有混合发起式(FOF),fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-28
041011,华安核心优选混合A(后端),other,no_series,
180305,南方顺丰物流REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-12-30
158000,港股通金融ETF鹏华,etf_lof,no_series,
028344,鹏扬优利债券A,bond_periodic,no_series,
960023,工银稳健成长混合H,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2017-01-22
508016,华夏华电清洁能源REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-07-13
028373,博时汇益回报3个月持有期混合(FOF)C,fof,no_series,
180502,招商基金蛇口租赁住房REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-12-30
160107,南方高增长混合(LOF)(后端),etf_lof,no_series,
028543,天弘材料新机遇优选混合发起式A,other,no_series,
018302,华夏聚盈优选三个月持有混合发起式(FOF)A,fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-01
180401,鹏华深圳能源REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-12-30
027791,国金智启量化选股股票C,backend_share,no_series,
000856,摩根天添盈货币B,money_market,stale_only,Data_millionCopiesIncome@2018-06-20
000002,华夏成长混合(后端),other,no_series,
213907,宝盈增强收益债券A/B(后端),bond_periodic,no_series,
508010,中金重庆两江REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-06-29
041001,华安创新混合(后端),other,no_series,
